Error Code,Error Type,Form Name,Packet,Variable Name,Type of Check,Name of the Test,Full Test Description,List of form(s) compared in this test,List of variable(s) compared in this test
a1a-ivp-c-071,Error,A1a,I - UDS Initial Visit (new participants),DELAYMED,Conformity,DELAYMED must conform,Q26. DELAYMED (Delay seeking medical attention in past year?) must be an integer between 1 and 5 or =8,,
a1a-ivp-c-073,Error,A1a,I - UDS Initial Visit (new participants),SCRIPTPROB,Conformity,SCRIPTPROB must conform,Q27. SCRIPTPROB (Challenges with prescription fills in past year?) must be an integer between 1 and 5 or =8,,
a1a-ivp-c-075,Error,A1a,I - UDS Initial Visit (new participants),MISSEDFUP,Conformity,MISSEDFUP must conform,Q28. MISSEDFUP (Missed follow-up in past year?) must be an integer between 1 and 5 or =8,,
a1a-ivp-c-077,Error,A1a,I - UDS Initial Visit (new participants),DOCADVICE,Conformity,DOCADVICE must conform,Q29. DOCADVICE (Followed doctor's advice in past year?) must be an integer between 1 and 5 or =8,,
a1a-ivp-c-079,Error,A1a,I - UDS Initial Visit (new participants),HEALTHACC,Conformity,HEALTHACC conforms,"Q30. HEALTHACC (healthcare access) must be an integer between 1 and 4, or = 8 (Prefer not to answer)",,
a1a-ivp-c-081,Error,A1a,I - UDS Initial Visit (new participants),LESSCOURT,Conformity,LESSCOURT conforms,Q31. LESSCOURT (Treated with less courtesy than others?) must be an integer between 1-6 or = 8,,
a1a-ivp-c-083,Error,A1a,I - UDS Initial Visit (new participants),POORSERV,Conformity,POORSERV conforms,Q32. POORSERV (Receive poorer service than others?) must be an integer between 1-6 or = 8,,
a1a-ivp-c-085,Error,A1a,I - UDS Initial Visit (new participants),NOTSMART,Conformity,NOTSMART conforms,Q33. NOTSMART (Treated like you aren't smart?) must be an integer between 1-6 or = 8,,
a1a-ivp-c-087,Error,A1a,I - UDS Initial Visit (new participants),ACTAFRAID,Conformity,ACTAFRAID conforms,Q34. ACTAFRAID (People act afraid of you?) must be an integer between 1-6 or = 8,,
a1a-ivp-c-089,Error,A1a,I - UDS Initial Visit (new participants),THREATENED,Conformity,THREATENED conforms,Q35. THREATENED (Are you often threatened?) must be an integer between 1-6 or = 8,,
a1a-ivp-c-091,Error,A1a,I - UDS Initial Visit (new participants),POORMEDTRT,Conformity,POORMEDTRT must conform,Q36. POORMEDTRT (Poor medical treatment compared to others?) must be an integer between 1 and 5 or =8,,
a1a-ivp-c-093,Error,A1a,I - UDS Initial Visit (new participants),EXPANCEST,Conformity,EXPANCEST conforms,Q37a1. EXPANCEST (main reason ancestry) must be blank or 1,,
a1a-ivp-c-094,Error,A1a,I - UDS Initial Visit (new participants),EXPGENDER,Conformity,EXPGENDER conforms,Q37a2. EXPGENDER (main reason gender) must be blank or 1,,
a1a-ivp-c-095,Error,A1a,I - UDS Initial Visit (new participants),EXPRACE,Conformity,EXPRACE conforms,Q37a3. EXPRACE (main reason race) must be blank or 1,,
a1a-ivp-c-096,Error,A1a,I - UDS Initial Visit (new participants),EXPAGE,Conformity,EXPAGE conforms,Q37a4. EXPAGE (main reason age) must be blank or 1,,
a1a-ivp-c-097,Error,A1a,I - UDS Initial Visit (new participants),EXPRELIG,Conformity,EXPRELIG conforms,Q37a5. EXPRELIG (main reason religion) must be blank or 1,,
a1a-ivp-c-098,Error,A1a,I - UDS Initial Visit (new participants),EXPHEIGHT,Conformity,EXPHEIGHT conforms,Q37a6. EXPHEIGHT (main reason height) must be blank or 1,,
a1a-ivp-c-099,Error,A1a,I - UDS Initial Visit (new participants),EXPWEIGHT,Conformity,EXPWEIGHT conforms,Q37a7. EXPWEIGHT (main reason weight) must be blank or 1,,
a1a-ivp-c-100,Error,A1a,I - UDS Initial Visit (new participants),EXPAPPEAR,Conformity,EXPAPPEAR conforms,Q37a8. EXPAPPEAR (main reason appearance) must be blank or 1,,
a1a-ivp-c-101,Error,A1a,I - UDS Initial Visit (new participants),EXPSEXORN,Conformity,EXPSEXORN conforms,Q37a9. EXPSEXORN (main reason sexual orientation) must be blank or 1,,
a1a-ivp-c-102,Error,A1a,I - UDS Initial Visit (new participants),EXPEDUCINC,Conformity,EXPEDUCINC conforms,Q37a10. EXPEDUCINC (main reason education/income) must be blank or 1,,
a1a-ivp-c-103,Error,A1a,I - UDS Initial Visit (new participants),EXPDISAB,Conformity,EXPDISAB conforms,Q37a11. EXPDISAB (main reason physical disability) must be blank or 1,,
a1a-ivp-c-104,Error,A1a,I - UDS Initial Visit (new participants),EXPSKIN,Conformity,EXPSKIN conforms,Q37a12. EXPSKIN (main reason skin shade) must be blank or 1,,
a1a-ivp-c-105,Error,A1a,I - UDS Initial Visit (new participants),EXPOTHER,Conformity,EXPOTHER conforms,Q37a13. EXPOTHER (main reason other) must be blank or 1,,
